trace_id,span_id,parent_span_id,service,operation,start_ns,duration_ns,status_code,attributes_json
0a6b7c8e4cfba3e2,4bd5938d4d3a3aab,,user-service,get_profile,70805613,8507700,200,"{""retry_count"": 0}"
f9d03354bf23e5b3,8c2ec7ed2036a246,,api-gateway,checkout,255700746,97548457,200,"{""retry_count"": 0, ""http.route"": ""/checkout""}"
f9d03354bf23e5b3,acffd4abadc6389a,8c2ec7ed2036a246,order-service,process_order,258544838,91346650,200,"{""retry_count"": 0}"
f9d03354bf23e5b3,8ff12f9a00b2ccf3,acffd4abadc6389a,payment-service,charge_payment,265335324,36605567,200,"{""retry_count"": 0}"
f9d03354bf23e5b3,6a990a2f076d0adc,acffd4abadc6389a,recommendation-service,get_recommendations,266007489,31925574,200,"{""retry_count"": 0}"
f9d03354bf23e5b3,d944f887909189f2,acffd4abadc6389a,inventory-service,check_inventory,266731218,79074729,200,"{""retry_count"": 0}"
f9d03354bf23e5b3,7f9d9abb6a501993,d944f887909189f2,product-service,get_product_details,269713505,17422363,200,"{""retry_count"": 0}"
f9d03354bf23e5b3,e1b6683a76223a60,d944f887909189f2,database-service,inventory_lookup,287135868,56584142,200,"{""retry_count"": 0, ""db.statement_shape"": ""SELECT * FROM inventory WHERE sku = ?""}"
1004f05e71dced63,29cb12de3a4e9717,,api-gateway,checkout,546591886,98641418,200,"{""retry_count"": 0, ""http.route"": ""/checkout""}"
1004f05e71dced63,db8c9e48a2fb1a32,29cb12de3a4e9717,order-service,process_order,549775795,92304412,200,"{""retry_count"": 0}"
1004f05e71dced63,a63fea23110e3d5f,db8c9e48a2fb1a32,inventory-service,check_inventory,556982884,80474304,200,"{""retry_count"": 0}"
1004f05e71dced63,a54aadcc901d66a0,db8c9e48a2fb1a32,recommendation-service,get_recommendations,557656607,30129698,200,"{""retry_count"": 0}"
1004f05e71dced63,8333c8681d091e4e,a63fea23110e3d5f,product-service,get_product_details,559489874,19432570,200,"{""retry_count"": 0}"
1004f05e71dced63,7d2d92bcb5f6908b,db8c9e48a2fb1a32,payment-service,charge_payment,559583083,61976066,200,"{""retry_count"": 0}"
1004f05e71dced63,6d5c9e3d6b7c6fd2,a63fea23110e3d5f,database-service,inventory_lookup,578922444,55822808,200,"{""retry_count"": 0, ""db.statement_shape"": ""SELECT * FROM inventory WHERE sku = ?""}"
967c922126ba692d,4457bbc158845d30,,api-gateway,checkout,845574612,93091616,200,"{""retry_count"": 0, ""http.route"": ""/checkout""}"
967c922126ba692d,a7440240225d2fb2,4457bbc158845d30,order-service,process_order,849297301,85869108,200,"{""retry_count"": 0}"
967c922126ba692d,cf1f494a28599cd2,a7440240225d2fb2,payment-service,charge_payment,855557885,50167032,200,"{""retry_count"": 0}"
967c922126ba692d,b5bf636cd698826e,a7440240225d2fb2,inventory-service,check_inventory,855836820,74730598,200,"{""retry_count"": 0}"
967c922126ba692d,4dc9a59310a77e9a,a7440240225d2fb2,recommendation-service,get_recommendations,857999652,35382244,200,"{""retry_count"": 0}"
967c922126ba692d,c5d6de1c625766ca,b5bf636cd698826e,product-service,get_product_details,858030634,17462256,200,"{""retry_count"": 0}"
967c922126ba692d,789737869c0e2273,b5bf636cd698826e,database-service,inventory_lookup,875492890,52153620,200,"{""retry_count"": 0, ""db.statement_shape"": ""SELECT * FROM inventory WHERE sku = ?""}"
22fa44d52481ba58,058ccbbd4569975b,,notification-service,send_email,1642434116,52444131,200,"{""retry_count"": 0}"
f2446bf199de668d,02d6bf3a954e1a04,,auth-service,verify_token,2141542202,8925405,200,"{""retry_count"": 0}"
